date,Open,High,Low,Close,Adj Close,Volume
2021. 11. 20,5122516,5284638,5016323,5255491,18410310893927,622369878153466
2021. 11. 21,5258189,5270460,5065972,5082969,16797374388278,602651350960891
2021. 11. 22,5079132,5106717,4799741,4867309,23514333007935,576512887884578
2021. 11. 23,4868765,5220567,4837945,5165748,26349928248150,612176480293808
2021. 11. 24,5164882,5206910,4964792,5040911,25988465274299,597746901461800
2021. 11. 25,5078258,5417892,5055914,5088227,22238786849006,602144942934164
2021. 11. 26,5382785,5426370,4690266,4820322,31283221169503,568573043012201
2021. 11. 27,4834780,5007800,4823437,4899251,19750127362640,580637737633984
2021. 11. 28,4904916,5139089,4771366,5134949,19077386602103,608702540305816
2021. 11. 29,5137930,5312826,5105801,5293920,22822012520226,630060395949216
2021. 11. 30,5297091,5626368,5179920,5478831,34092699560035,653936444031233
2021. 12. 1,5469605,5642401,5332720,5399805,32690756413276,643375183546604
2021. 12. 2,5399031,5441058,5227665,5309239,25312944332499,629750448872370
2021. 12. 3,5312833,5488420,4854284,4998899,30457044279304,589087503621187
2021. 12. 4,5007256,5024978,4175507,4879136,45573564656531,578701785870946
2021. 12. 5,4879185,5029950,4785133,4964122,30240721143272,589828077766769
2021. 12. 6,4964923,5166177,4640531,5146143,33378751981992,611414422936695
2021. 12. 7,5145966,5217319,5019959,5078612,26406669796439,604455863109815
2021. 12. 8,5074625,5224600,4982104,5205813,22014043679633,619986934367006
2021. 12. 9,5198387,5260463,4804878,4854501,26145559042506,573321916969364
2021. 12. 10,4847163,4985504,4603263,4615934,33010424966920,546610855630466
2021. 12. 11,4617318,4836961,4542190,4823738,22594304398610,572578100896406
2021. 12. 12,4824162,4929032,4715799,4882684,16602030222272,579654678961337
2021. 12. 13,4884936,4896249,4360836,4484971,28343201448393,530601752752911
2021. 12. 14,4483307,4582850,4376072,4439205,28250731982189,527076027848840
2021. 12. 15,4577653,4842536,4355244,4763398,31303309121498,565592792073133
2021. 12. 16,4765800,4875661,4692774,4700381,23501184748024,557865791454790
2021. 12. 17,4696280,4732841,4404744,4608403,27453447039015,546625251304349
2021. 12. 18,4609359,4744231,4483827,4705066,23200555917194,558938541532929
2021. 12. 19,4705081,4773724,4626117,4659449,19205550832925,553601409865854
2021. 12. 20,4660760,4727127,4470312,4682337,25645300768422,555234732998406
2021. 12. 21,4687835,4832101,4671258,4789517,19506805595019,568653142352615
2021. 12. 22,4787653,4852843,4702284,4730555,16585614639439,563827906366681
2021. 12. 23,4730391,4927260,4627409,4870669,21391830878468,580067768267130
2021. 12. 24,4874616,4904084,4782580,4805037,15139672297055,570546873093370
2021. 12. 25,4807172,4912560,4781230,4858806,12932328314307,577663907909544
2021. 12. 26,4859840,4872746,4763542,4821817,13291352776937,574066836114147
2021. 12. 27,4818757,4897048,4787255,4791152,13543578782721,569199109988241
2021. 12. 28,4791141,4791141,4480185,4518274,20528404195084,536416664239408
2021. 12. 29,4514164,4541509,4279977,4298650,18690030830128,513052685544656
2021. 12. 30,4303019,4486523,4256653,4421676,15312440426814,523382877795750
2021. 12. 31,4421174,4526429,4327966,4378209,16855525310655,521630913874583
2022. 1. 1,4378701,4481980,4377797,4481717,11622718510555,533257399893102
2022. 1. 2,4481244,4560736,4431381,4552913,11747883893647,541788749556295
2022. 1. 3,4552878,4581822,4422669,4497406,14362657630536,532205386640008
2022. 1. 4,4497384,4643634,4449296,4543379,16776495068006,539958804218071
2022. 1. 5,4543634,4601260,4147948,4261353,21628435336138,506106653938900
2022. 1. 6,4260539,4260539,4022599,4117071,29158628805602,488467905429123
2022. 1. 7,4116384,4119544,3750304,3824365,29500358219323,457911391873677
2022. 1. 8,3824714,3880848,3617671,3702807,19207670757442,440967494557350
2022. 1. 9,3702476,3840308,3683573,3781843,14771462333586,450362847712960
2022. 1. 10,3781626,3813596,3536919,3694029,23396745795004,439795697521481
2022. 1. 11,3693901,3867445,3662216,3851750,18225671512026,462160501419389
2022. 1. 12,3852152,4034466,3833917,3999338,19820569188682,477886465421703
2022. 1. 13,3999156,4022866,3854376,3855150,18138510285100,458995953108432
2022. 1. 14,3855578,3964181,3808193,3939762,16096856714145,468113700999040
2022. 1. 15,3939575,4004675,3902471,3964198,11450300102349,472433987870427
2022. 1. 16,3964027,4018795,3917817,3988265,11314534042671,475380483927532
2022. 1. 17,3988295,3994094,3760245,3826080,14692188381526,455744249980001
2022. 1. 18,3826059,3844677,3695319,3774854,15512679213173,449274336809276
2022. 1. 19,3774645,3780097,3642361,3678615,15733313911626,440372611907690
2022. 1. 20,3677956,3879757,3578598,3578851,12650017723860,425230592471304
2022. 1. 21,3581041,3617046,2977699,3050589,31954712041102,363773876118199
2022. 1. 22,3054422,3118944,2779053,2868419,32641094721602,342117173525096
