Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,52200,52300,51600,52300,49209.62109,15982926
2020-06-19,52600,52900,51600,52900,49774.16406,18157985
2020-06-22,52000,52600,51800,52000,48927.34766,13801350
2020-06-23,52500,52800,51100,51400,48362.79688,18086152
2020-06-24,51900,53900,51600,52900,49774.16406,24519552
2020-06-25,52100,53000,51900,51900,48833.25391,18541624
2020-06-26,52800,53900,52200,53300,50150.52734,21575360
2020-06-29,52500,53200,52000,52400,49633.35938,17776925
2020-06-30,53900,53900,52800,52800,50012.23828,21157172
2020-07-01,53400,53600,52400,52600,49822.79688,16706143
2020-07-02,52100,52900,52100,52900,50106.95703,14142583
2020-07-03,53000,53600,52700,53600,50769.98828,11887868
2020-07-06,54000,55000,53800,55000,52096.07813,19856623
2020-07-07,55800,55900,53400,53400,50580.55469,30760032
2020-07-08,53600,53900,52900,53000,50201.67578,19664652
2020-07-09,53200,53600,52800,52800,50012.23828,17054850
2020-07-10,53100,53200,52300,52700,49917.51563,13714746
2020-07-13,53300,53800,53100,53400,50580.55469,12240188
2020-07-14,53700,53800,53200,53800,50959.4375,14269484
2020-07-15,54400,55000,54300,54700,51811.91406,24051450
2020-07-16,54800,54800,53800,53800,50959.4375,16779127
2020-07-17,54200,54700,54100,54400,51527.76172,10096174
2020-07-20,54800,54800,54000,54200,51338.32031,10507530
2020-07-21,55200,55400,54800,55300,52380.23828,18297260
2020-07-22,55300,55500,54700,54700,51811.91406,12885057
2020-07-23,54700,54700,53800,54100,51243.59766,16214932
2020-07-24,54000,54400,53700,54200,51338.32031,10994535
2020-07-27,54300,55700,54300,55600,52664.39453,21054421
2020-07-28,57000,58800,56400,58600,55506.00781,48431566
2020-07-29,60300,60400,58600,59000,55884.88672,36476611
2020-07-30,59700,60100,59000,59000,55884.88672,19285354
2020-07-31,59500,59600,57700,57900,54842.96484,21943345
2020-08-03,57800,57900,56700,56800,53801.03906,21158940
2020-08-04,57200,58100,57000,57300,54274.63672,19419694
2020-08-05,57300,57500,56300,56900,53895.76563,17739706
2020-08-06,57100,58400,57100,58000,54937.68359,21625874
2020-08-07,57900,58400,57100,57500,54464.07813,18751717
2020-08-10,57600,58300,57500,57800,54748.24219,17774291
2020-08-11,58000,59500,57800,58200,55127.12109,24907912
2020-08-12,58200,59000,57700,59000,55884.88672,18573934
2020-08-13,59400,59600,58000,58700,55600.72656,22089460
2020-08-14,58000,58400,57700,58000,54937.68359,15672548
2020-08-18,58900,59900,58000,58400,55316.5625,25307825
2020-08-19,59000,59200,57800,57800,54748.24219,16930719
2020-08-20,57600,57600,55300,55400,52474.96094,30386029
2020-08-21,56200,56900,55800,55900,52948.55859,21142288
2020-08-24,55800,56600,55400,56100,53138,15055896
2020-08-25,56400,56800,56100,56400,53422.16406,14021705
2020-08-26,56400,56500,55700,56400,53422.16406,17651593
2020-08-27,56300,56300,55600,55600,52664.39453,16196568
2020-08-28,56100,56300,55400,55400,52474.96094,14619888
2020-08-31,56000,56100,54000,54000,51148.87891,32671367
2020-09-01,54100,54800,54100,54200,51338.32031,19363117
2020-09-02,54600,55100,54100,54400,51527.76172,16905723
2020-09-03,55600,56700,55500,56400,53422.16406,28384920
2020-09-04,55200,55800,55100,55600,52664.39453,22139109
2020-09-07,56100,57300,55800,56500,53516.88672,18685880
2020-09-08,57400,58700,57200,58700,55600.72656,31517520
2020-09-09,58200,59300,57800,58400,55316.5625,30597399
2020-09-10,59900,60000,59100,59200,56074.32422,29923293
2020-09-11,59300,59400,58200,59000,55884.88672,16017098
2020-09-14,60200,60800,59900,60400,57210.96484,20648281
2020-09-15,60900,61000,60500,61000,57779.29297,17877075
2020-09-16,61100,61300,60600,61000,57779.29297,17041444
2020-09-17,60700,60800,59300,59500,56358.48047,25108356
2020-09-18,59800,59900,59100,59300,56169.04297,18884571
2020-09-21,59100,60000,59000,59200,56074.32422,15140387
2020-09-22,59100,59700,57800,58200,55127.12109,20830381
2020-09-23,58400,58800,57400,58600,55506.00781,20111398
2020-09-24,57700,58600,57600,57800,54748.24219,17564020
2020-09-25,57700,58200,57700,57900,54842.96484,11444683
2020-09-28,58300,58800,57900,58200,55466.24219,12614080
2020-09-29,58300,59000,58200,58200,55466.24219,15503563
2020-10-05,57500,59200,57500,58700,55942.75781,20228289
2020-10-06,59400,59900,58700,59000,56228.66797,14463826
2020-10-07,58700,59900,58500,59900,57086.39063,14861838
2020-10-08,60500,60700,59500,59700,56895.78906,24589924
2020-10-12,60000,60400,59900,60400,57562.90625,16145837
2020-10-13,61000,61400,60400,60900,58039.42188,19247631
2020-10-14,61000,61100,60500,60900,58039.42188,16086716
2020-10-15,60700,60800,59700,60000,57181.69531,17756232
2020-10-16,60000,60400,59000,59500,56705.18359,16554190
2020-10-19,59600,60200,59500,60000,57181.69531,14474985
2020-10-20,60300,60900,60100,60900,58039.42188,19326115
2020-10-21,61200,61500,60600,60900,58039.42188,15703443
2020-10-22,60300,60500,59800,60100,57276.99609,14294095
